,question,tags
0,List email from Richa?,Email
1,What did robert write to me regarding overview of product ?,Email
2,When was the Diwali Celeberation?,Email
3,Show me all emails focused on covid19.,Email
4,Show me the important mails for today,Email
5,Show me all the emails sent by george in the month of june,Email
6,Important mails sent to ruby in june 1990,Email
7,What's benjamin's message for me tomorrow ?,Email
8,When did Randy Friedman first send me an email?,Email
9,When was the latest message received from john@pwc.com ?,Email
10,What was the meeting with christopher focused on ?,Email
11,What was the first email received from vivian jones?,Email
12,When did I start the conversation with John Doe ?,Email
13,What are the mails sent to Shibani in the month of dec 1999,Email
14,Who all are on form 16 tomorrow?,Email
15,Who tried to reach me on 04th nov ?,Email
16,When did jordan and I connect for the very first time ?,Email
17,What time did I get the most recent message from jason ?,Email
18,When did I first reach out to ruby taylor ?,Email
19,List all the people with whom I had a discussion about offer letter ?,Email
20,When did I last connect with susie?,Email
21,Show me the important messages from valentina@broadcom.com,Email
22,Display all payslips of 2019.,Email
23,What did jack highlight in his last conversation ?,Email
24,Who sent the mail regarding EOD - 19th May ?,Email
25,When was the first email sent to becky ?,Email
26,When did thomas and I speak at the very beginning ?,Email
27,When did I first reach out to theodore brown ?,Email
28,How many emails?,Email
29,Are there mails from ruby roberts that are present in the spam folder ?,Email
30,What time did I get the most recent message from benjamin ?,Email
31,Show me all emails sent on 05/9/2016,Email
32,When did the final discussion between ryan and myself happen ?,Email
33,appreciation was mailed by ?,Email
34,When was the time I heard from vivian@cisco.com ?,Email
35,When was the last time peter and I had a conversation?,Email
36,What was the first communication from george?,Email
37,What was the conversation with Neerose based on ?,Email
38,What was the subject of the last discussion with benjamin ?,Email
39,What did benjamin write to me regarding festival ?,Email
40,When did jordan and I collaborate for the first time ?,Email
41,When was the first message received from maithili@tqid.com ?,Email
42,What does morgan want to tell in his recent mail ?,Email
43,Who all were on overview of product in the month of september?,Email
44,When did I last collaborate with jack?,Email
45,When did I first speak to richa ?,Email
46,Who was the mail about business strategy sent to?,Email
47,Display the mail sent regarding the soc release.,Email
48,What did kevin want to communicate with me ?,Email
49,Show me all emails without subject and content,Email
50,What Is my last email,Email
51,What was the conversation with Neerose based on ?,Email
52,When did the conversation about Tax deduction start ?,Email
53,Who all were on Tax deduction in the month of october?,Email
54,When was the first email sent to bobby about festival?,Email
55,From whom did I get the message about payslip ?,Email
56,When did adam connect with me recently?,Email
57,What did robert's message read ?,Email
58,When did nathan ping me for the first time ?,Email
59,When was the first email sent to John about patents ?,Email
60,Important mails sent to robert in nov 1999,Email
61,Who are on it declaration today ?,Email
62,When did the discussion about performance review start ?,Email
63,List the last 5 emails from vinay,Email
64,How many mails have I received from julia@amazon.ai ?,Email
65,What did andrew mention in his mail the day before ?,Email
66,What does Jack say about Genius ?,Email
67,all mails from richa ?,Email
68,To whom did I send the most recent mail ?,Email
69,What was the issue mentioned by sophie in the latest discussion?,Email
70,When did nicholas and I first contact each other?,Email
71,When did sophie and my thread end?,Email
72,How can I contact Raksha through email ?,Email
73,Which email was sent on 10th aug without subject ?,Email
74,what is the subject of the last mail received from Varsha,Email
75,what was the subject of the last discussion with chaitanya,Email
76,When did I receive the last mail from joseph@genentech.com ?,Email
77,Show me the meetings in which Ankit and Bharat participated,Email
78,What did ryan convey in his last message ?,Email
79,When did the conversation about offer letter end ?,Email
80,Who initiated the conversation regarding offer letter ?,Email
81,Who is the owner of cognizer2020 group ?,Email
82,Are there mails from aaron roberts that are present in the spam folder ?,Email
83,What was the summary/subject of the mail received from benjamin on 7th march ?,Email
84,List mail from Jeswil?,Email
85,When was the first message received from aaron Porter ?,Email
86,What was the conversation with kevin based on ?,Email
87,Who initiated the conversation regarding it declaration ?,Email
88,When did nicholas send the latest email?,Email
89,When was the first message about 'Tax deduction' sent to donald ?,Email
90,When was the last email sent by Padam Prajapati?,Email
91,Show me all the mails in scheduled folder,Email
92,When did I last collaborate with benjamin?,Email
93,What did kevin state in his mail 05 days ago ?,Email
94,Show me all emails where the subject contains soc,Email
95,Who sent the mail regarding rental agreement ?,Email
96,What was Maithili's motto in her last email ?,Email
97,When did ryan and I talk in the beginning ?,Email
98,What was Jack's response to John's mail about Genius ?,Email
99,When did I hear from donald roberts for the first time ?,Email
100,When did I first speak to richa?,Email
101,how many emails did i receive from ankit bagaria,Email
102,Display the mails from donald william that do not contain subject,Email
103,What was the discussion about customer success journey?,Email
104,What was the discussion about covid19?,Email
105,What did kevin mention in his mail today ?,Email
106,From whom did I get the message about soc ?,Email
